,FID,OID_,lat,lon
0,0,0,36.875,107.375
1,1,0,36.875,107.625
2,2,0,36.875,110.125
3,3,0,36.875,110.375
4,4,0,37.125,107.375
5,5,0,37.125,107.625
6,6,0,37.125,107.875
7,7,0,37.125,108.125
8,8,0,37.125,108.375
9,9,0,37.125,108.625
10,10,0,37.125,108.875
11,11,0,37.125,109.875
12,12,0,37.125,110.125
13,13,0,37.125,110.375
14,14,0,37.125,110.625
15,15,0,37.375,107.375
16,16,0,37.375,107.625
17,17,0,37.375,107.875
18,18,0,37.375,108.125
19,19,0,37.375,108.375
20,20,0,37.375,108.625
21,21,0,37.375,108.875
22,22,0,37.375,109.125
23,23,0,37.375,109.375
24,24,0,37.375,109.625
25,25,0,37.375,109.875
26,26,0,37.375,110.125
27,27,0,37.375,110.375
28,28,0,37.375,110.625
29,29,0,37.625,107.375
30,30,0,37.625,107.625
31,31,0,37.625,107.875
32,32,0,37.625,108.125
33,33,0,37.625,108.375
34,34,0,37.625,108.625
35,35,0,37.625,108.875
36,36,0,37.625,109.125
37,37,0,37.625,109.375
38,38,0,37.625,109.625
39,39,0,37.625,109.875
40,40,0,37.625,110.125
41,41,0,37.625,110.375
42,42,0,37.625,110.625
43,43,0,37.625,110.875
44,44,0,37.875,107.625
45,45,0,37.875,107.875
46,46,0,37.875,108.875
47,47,0,37.875,109.125
48,48,0,37.875,109.375
49,49,0,37.875,109.625
50,50,0,37.875,109.875
51,51,0,37.875,110.125
52,52,0,37.875,110.375
53,53,0,37.875,110.625
54,54,0,38.125,109.125
55,55,0,38.125,109.375
56,56,0,38.125,109.625
57,57,0,38.125,109.875
58,58,0,38.125,110.125
59,59,0,38.125,110.375
60,60,0,38.125,110.625
61,61,0,38.375,109.125
62,62,0,38.375,109.375
63,63,0,38.375,109.625
64,64,0,38.375,109.875
65,65,0,38.375,110.125
66,66,0,38.375,110.375
67,67,0,38.375,110.625
68,68,0,38.375,110.875
69,69,0,38.625,109.125
70,70,0,38.625,109.375
71,71,0,38.625,109.625
72,72,0,38.625,109.875
73,73,0,38.625,110.125
74,74,0,38.625,110.375
75,75,0,38.625,110.625
76,76,0,38.625,110.875
77,77,0,38.875,109.625
78,78,0,38.875,109.875
79,79,0,38.875,110.125
80,80,0,38.875,110.375
81,81,0,38.875,110.625
82,82,0,38.875,110.875
83,83,0,38.875,111.125
84,84,0,39.125,109.875
85,85,0,39.125,110.125
86,86,0,39.125,110.375
87,87,0,39.125,110.625
88,88,0,39.125,110.875
89,89,0,39.125,111.125
90,90,0,39.375,110.125
91,91,0,39.375,110.375
92,92,0,39.375,110.625
93,93,0,39.375,110.875
94,94,0,39.375,111.125
95,95,0,39.625,111.125
